item,itemLabel,startDate,endDate
Q232796,Malam Bacai Sanhá,1999-05-14,2000-02-17
Q336238,Kumba Ialá,2000-02-17,2003-09-14
Q715042,Veríssimo Correia Seabra,2003-09-14,2003-09-28
Q286130,Henrique Rosa,2003-09-28,2005-10-01
Q106164,João Bernardo Vieira,2005-10-01,2009-03-02
Q314538,Raimundo Pereira,2009-03-03,2009-09-08
Q232796,Malam Bacai Sanhá,2009-09-08,2012-01-09
Q314538,Raimundo Pereira,2012-01-09,2012-04-12
Q3075634,Mamadu Ture Kuruma,2012-04-12,2012-05-11
Q57424,Manuel Serifo Nhamadjo,2012-05-11,2014-06-23
Q16908893,José Mário Vaz,2014-06-23,2020-02-27
Q16855164,Umaro Sissoco Embaló,2020-02-27,
